TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Brainstorm projects currently in progress,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Identify next steps for current projects,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Add next steps to new checklist,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Draft inning priorities for BE Team,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Schedule observations,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Set up instructor checkins,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Draft mod assignments for future innings,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Send mod assignments for next inning,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
task,Create new version of this checklist,4,1,Salvador (21773288),,,en,America/Denver
,,,,,,,,
